time,open,high,low,close,tick_volume,spread,real_volume
2025-05-20,3230.75,3295.68,3204.57,3289.66,94589,5,0
2025-05-21,3289.94,3324.84,3285.56,3315.11,101469,5,0
2025-05-22,3316.05,3345.31,3279.37,3294.71,100750,5,0
2025-05-23,3294.54,3365.87,3287.05,3357.9,97109,5,0
2025-05-26,3353.88,3356.76,3323.52,3342.19,59937,5,0
2025-05-27,3343.87,3349.77,3284.9,3300.56,91570,5,0
2025-05-28,3301.03,3325.44,3276.94,3288.64,84113,5,0
2025-05-29,3287.71,3331.23,3245.52,3317.56,105319,5,0
2025-05-30,3318.43,3322.7,3271.82,3288.72,93320,5,0
2025-06-02,3298.35,3382.92,3295.92,3381.6,87954,5,0
2025-06-03,3382.82,3392.24,3333.2,3353.3,83435,5,0
2025-06-04,3354.69,3384.65,3343.8,3372.6,92464,5,0
2025-06-05,3373.4,3403.33,3339.61,3352.6,92514,5,0
2025-06-06,3354.03,3375.6,3307.13,3312.12,92933,5,0
2025-06-09,3314.04,3338.16,3293.61,3325.39,89295,5,0
2025-06-10,3325.86,3349.08,3301.94,3322.4,92073,5,0
2025-06-11,3322.21,3360.68,3315.53,3354.82,94367,5,0
2025-06-12,3356.57,3398.77,3338.67,3386.66,99415,5,0
2025-06-13,3386.01,3446.8,3379.81,3434.15,92847,5,0
2025-06-16,3434.04,3451.23,3382.76,3385.14,86045,4,0
2025-06-17,3386.26,3403.24,3366.15,3388.47,93937,5,0
2025-06-18,3390.46,3400.01,3362.56,3369.15,86513,5,0
2025-06-19,3369.58,3387.93,3347.65,3370.63,66292,5,0
2025-06-20,3370.12,3374.51,3340.37,3368.64,73350,5,0
2025-06-23,3392.44,3396.7,3347.12,3369.04,85888,5,0
2025-06-24,3368.43,3369.94,3295.5,3322.81,88230,5,0
2025-06-25,3324.71,3337.07,3311.98,3332.15,69041,5,0
2025-06-26,3333.62,3350.28,3309.99,3327.76,74485,5,0
2025-06-27,3327.61,3327.96,3255.89,3274.96,84271,5,0
2025-06-30,3275.5,3309.41,3248.48,3302.92,76467,5,0
2025-07-01,3303.4,3357.92,3302.38,3338.78,77928,5,0
2025-07-02,3338.98,3360.1,3327.61,3356.93,72230,5,0
2025-07-03,3358.07,3365.74,3311.69,3325.92,42404,5,0
2025-07-04,3325.52,3344.18,3323.59,3337.04,30628,5,0
2025-07-07,3335.92,3342.76,3296.45,3336.16,82706,5,0
2025-07-08,3338.99,3345.76,3287.13,3301.48,84705,5,0
2025-07-09,3302.39,3316.79,3282.77,3313.55,75758,5,0
2025-07-10,3314.0,3330.25,3310.12,3323.85,71678,5,0
2025-07-11,3324.18,3368.75,3321.78,3355.5,86342,5,0
2025-07-14,3362.47,3374.92,3340.71,3343.26,95296,5,0
2025-07-15,3344.06,3366.73,3320.25,3324.65,72728,5,0
2025-07-16,3324.68,3377.48,3319.62,3346.99,81966,5,0
2025-07-17,3350.79,3352.22,3309.9,3338.1,83442,5,0
2025-07-18,3341.64,3361.24,3331.8,3350.85,69906,5,0
2025-07-21,3350.01,3401.59,3345.0,3397.41,78916,5,0
2025-07-22,3399.04,3433.53,3383.26,3429.58,86631,5,0
2025-07-23,3430.9,3438.77,3381.52,3388.1,85846,5,0
2025-07-24,3390.56,3393.35,3351.39,3367.5,80047,5,0
2025-07-25,3369.25,3373.55,3325.08,3336.65,64812,5,0
2025-07-28,3331.05,3345.2,3301.8,3314.78,71500,5,0
2025-07-29,3314.18,3334.14,3307.94,3325.5,70454,5,0
2025-07-30,3327.36,3334.05,3268.17,3275.86,71995,5,0
2025-07-31,3277.45,3314.81,3276.45,3290.68,82495,5,0
2025-08-01,3291.51,3363.45,3281.59,3363.23,77923,0,0
2025-08-04,3362.95,3385.37,3345.07,3374.01,72655,5,0
2025-08-05,3376.19,3390.38,3349.99,3380.47,66618,5,0
2025-08-06,3381.14,3385.62,3358.24,3368.4,72233,5,0
2025-08-07,3372.59,3401.81,3365.3,3395.84,88988,5,0
2025-08-08,3402.94,3408.84,3376.62,3397.14,105874,5,0
2025-08-11,3400.5,3401.85,3341.4,3342.29,86369,5,0
2025-08-12,3344.31,3359.03,3331.13,3348.28,75882,5,0
2025-08-13,3349.92,3370.76,3342.72,3355.97,70839,5,0
2025-08-14,3357.05,3374.81,3329.85,3334.75,79119,5,0
2025-08-15,3336.51,3348.67,3332.2,3336.08,67349,5,0
2025-08-18,3335.35,3358.39,3323.62,3332.89,66798,5,0
2025-08-19,3333.25,3345.29,3314.89,3315.6,68868,5,0
2025-08-20,3316.47,3350.19,3311.55,3347.8,67805,5,0
2025-08-21,3351.04,3352.06,3325.17,3338.44,64006,5,0
2025-08-22,3339.94,3378.79,3321.44,3371.86,66790,5,0
2025-08-25,3368.71,3376.22,3359.81,3365.73,63484,5,0
2025-08-26,3366.56,3393.31,3351.29,3392.96,85457,5,0
2025-08-27,3390.76,3398.81,3373.81,3397.38,78602,5,0
2025-08-28,3398.01,3423.17,3384.6,3417.36,89005,5,0
2025-08-29,3417.06,3453.88,3404.36,3448.16,90252,5,0
2025-09-01,3445.94,3489.81,3437.12,3476.37,79933,5,0
2025-09-02,3476.41,3540.17,3470.34,3534.4,107080,5,0
2025-09-03,3532.61,3578.46,3526.3,3560.62,103975,5,0
2025-09-04,3560.3,3564.19,3511.45,3545.39,101393,5,0
2025-09-05,3545.44,3600.0,3539.79,3587.37,97095,5,0
2025-09-08,3592.28,3646.35,3579.64,3636.76,95319,5,0
2025-09-09,3636.12,3674.12,3626.05,3626.23,94362,5,0
2025-09-10,3623.32,3657.57,3620.29,3640.55,89748,5,0
2025-09-11,3641.94,3649.09,3613.51,3633.91,84116,5,0
2025-09-12,3634.01,3656.63,3630.59,3642.6,81988,5,0
2025-09-15,3644.63,3685.5,3626.69,3678.66,89549,5,0
2025-09-16,3680.34,3703.06,3674.68,3689.69,95445,5,0
